cgpa,tenth_percentage,twelfth_percentage,backlogs,projects,internships,certifications,communication_level,aptitude_score,dsa_level,python_level,sql_level,placed
6.23,77.85,64.86,0,3,0,0,10,88.56,9,2,1,1
7.99,83.79,75.86,3,1,2,1,9,42.14,3,7,2,0
8.36,79.2,65.75,1,3,2,0,10,61.74,6,6,1,1
6.38,68.27,77.55,1,1,1,1,3,52.34,7,7,10,0
8.16,89.97,66.05,0,1,0,3,3,92.96,3,4,10,1
7.61,76.41,70.92,0,0,0,1,6,72.37,1,5,3,0
8.02,77.73,65.04,3,1,2,0,6,78.37,2,6,6,0
9.1,68.67,81.51,0,1,0,1,6,72.15,10,9,10,1
6.95,73.57,83.58,0,0,0,0,5,70.63,7,2,6,0
6.45,69.15,72.65,1,0,1,0,5,52.05,7,9,1,0
6.31,76.27,75.38,0,1,1,1,2,58.3,1,10,6,0
6.38,95.12,60.51,1,1,0,0,7,66.07,10,1,5,0
7.12,64.28,72.0,3,2,1,2,4,55.27,7,4,7,0
7.54,61.86,74.5,2,0,0,0,3,52.5,10,5,6,0
7.48,92.71,100.0,0,2,2,4,8,61.91,6,9,7,1
8.03,75.91,63.88,1,0,0,1,4,55.92,6,6,2,0
7.21,71.31,89.64,2,2,0,3,4,65.75,7,4,1,0
8.65,88.4,84.97,3,4,2,0,8,58.36,7,2,7,1
6.94,71.94,77.81,1,0,0,3,1,54.73,1,5,9,0
9.92,96.26,92.59,1,1,2,1,9,51.09,10,8,2,1
7.83,84.78,78.72,3,3,0,2,7,65.09,5,8,7,1
6.34,73.12,78.89,3,3,1,3,2,78.32,8,6,3,0
6.13,99.57,74.47,0,0,0,2,6,74.76,8,1,6,0
7.68,71.94,87.24,1,1,1,0,8,42.1,3,8,3,0
6.98,85.42,85.96,1,3,2,1,5,77.9,3,4,10,1
7.91,80.99,68.74,3,1,0,2,6,74.66,7,2,5,1
7.67,91.02,61.81,0,4,2,2,10,78.31,4,1,2,1
7.13,93.62,72.97,0,0,1,1,8,81.25,6,7,8,1
6.35,78.32,67.0,2,2,0,0,6,54.09,9,2,8,0
5.69,70.47,74.36,2,0,0,2,9,60.5,10,4,7,1
6.75,82.6,87.37,0,1,1,3,9,91.86,2,4,6,1
8.06,71.22,70.43,3,2,1,5,9,90.97,2,10,1,1
7.41,98.13,74.57,3,0,1,1,6,63.85,6,1,8,0
5.95,79.37,75.58,2,4,2,1,9,74.05,3,2,1,0
7.37,74.35,83.48,0,2,1,1,3,75.36,1,1,8,0
7.59,79.85,52.53,3,2,2,1,5,91.36,2,6,2,0
6.32,64.53,68.93,0,0,1,4,2,70.18,7,3,8,1
7.35,68.28,77.11,1,2,0,1,8,46.82,4,1,10,0
7.26,90.0,87.0,3,2,0,3,4,57.86,2,8,4,0
6.06,71.43,70.08,3,0,0,0,6,100.0,8,4,7,0
7.56,67.53,56.23,0,0,1,1,6,46.12,4,10,5,0
7.76,83.37,81.2,2,1,1,1,5,65.75,4,7,8,0
8.28,89.86,68.65,3,3,1,1,1,99.7,2,10,6,0
8.25,85.19,63.1,1,1,1,1,7,53.0,1,2,5,1
5.82,87.96,68.76,0,4,1,3,10,24.1,1,6,1,0
6.26,70.43,73.15,0,0,0,0,8,26.86,3,6,3,0
7.72,63.78,68.95,1,2,2,3,1,53.09,6,7,10,0
7.71,93.01,52.94,2,3,0,2,10,38.56,7,1,9,1
7.72,74.77,83.97,1,3,1,1,7,80.56,9,1,9,1
10.0,75.49,87.75,0,2,0,3,4,69.02,5,2,5,1
7.77,91.28,81.52,1,0,2,1,6,32.99,9,2,3,0
8.34,83.56,63.62,0,2,1,2,9,41.07,8,5,6,1
8.15,82.56,72.99,0,1,2,1,5,83.6,1,1,5,1
7.85,99.65,74.93,2,3,1,0,8,67.9,3,2,1,0
6.88,71.56,80.99,3,3,1,1,5,86.5,8,6,2,0
7.96,87.28,81.68,1,4,1,1,2,81.79,9,3,5,1
6.43,78.57,67.66,2,2,2,0,4,47.74,4,4,9,0
6.96,80.69,75.82,0,1,2,1,2,78.23,6,1,4,0
6.71,93.28,79.57,1,2,2,1,7,73.44,4,5,9,1
7.28,83.08,89.56,0,1,0,3,7,35.57,9,4,3,1
9.51,83.38,82.05,0,1,2,1,3,44.57,2,8,1,1
5.33,88.73,82.89,2,3,1,1,7,100.0,6,3,6,0
7.89,74.35,75.84,3,1,0,1,1,51.09,3,10,10,0
5.59,69.61,89.1,1,1,2,1,1,71.17,10,1,7,0
6.73,67.55,79.1,3,4,0,1,9,62.14,4,10,4,0
8.29,58.34,66.39,3,3,1,3,6,67.76,2,5,10,1
7.26,98.56,89.03,1,3,2,3,5,63.13,8,1,5,1
6.12,66.97,81.98,0,1,0,1,6,79.48,10,5,4,0
6.48,75.79,70.57,2,4,0,2,6,79.08,8,9,3,1
7.88,75.23,70.21,2,2,0,2,1,66.77,1,5,1,0
6.47,81.07,77.97,0,2,0,5,5,51.43,10,2,6,1
7.42,86.16,79.63,2,1,0,2,9,56.47,6,2,10,1
7.25,86.6,76.97,0,4,0,2,4,41.36,1,10,5,0
6.55,72.17,78.11,0,1,1,2,3,59.98,6,9,1,0
9.34,76.33,92.0,1,4,0,2,1,38.5,7,5,5,1
7.83,80.83,85.72,2,3,1,4,2,68.28,2,8,6,1
5.17,75.51,76.91,0,2,2,1,3,69.44,9,10,10,1
7.39,94.07,84.41,2,1,0,1,4,80.08,8,4,5,0
6.54,82.91,64.67,1,1,0,0,7,46.7,9,2,1,0
8.05,85.35,78.98,1,1,0,6,6,47.72,10,4,5,1
6.41,84.63,93.09,1,5,1,0,8,87.87,4,4,10,1
7.09,89.73,72.82,1,2,0,3,9,44.47,4,9,1,0
7.7,79.81,66.52,1,0,0,1,6,95.77,8,10,3,1
8.07,65.03,68.48,2,2,2,1,7,51.14,1,6,2,0
6.0,82.0,64.1,0,6,1,0,4,51.25,8,10,1,1
6.87,71.49,67.15,1,0,1,1,2,77.64,7,6,4,0
6.73,72.71,71.29,0,3,0,1,9,73.24,7,5,2,1
6.55,83.86,60.94,0,0,1,1,9,89.62,9,6,5,1
8.97,90.38,75.16,0,1,0,2,4,36.63,10,1,10,1
7.6,78.21,84.02,0,1,1,3,3,73.0,7,5,1,1
5.94,81.09,65.92,0,0,1,0,10,64.31,2,6,10,1
8.12,95.02,90.19,0,3,1,2,6,48.85,1,8,1,1
9.32,80.41,80.11,3,2,1,2,3,93.22,1,4,10,0
8.23,100.0,85.31,0,2,1,2,1,68.53,7,5,4,1
5.68,83.66,68.42,1,1,1,1,4,64.06,5,4,7,0
6.72,60.39,83.55,1,2,1,1,1,71.81,4,7,2,0
8.47,85.53,64.08,3,3,0,0,2,39.07,5,10,2,0
6.49,81.81,83.9,0,2,1,3,3,46.27,10,6,1,1
7.64,90.9,76.72,2,0,0,1,8,60.01,10,4,5,1
7.97,84.73,80.53,2,4,0,1,10,69.75,6,6,6,1
6.27,76.62,63.24,0,2,1,4,4,84.12,10,4,6,1
7.14,65.76,66.05,3,2,2,2,4,51.73,6,8,2,0
4.0,75.91,80.97,0,3,0,6,10,48.3,1,3,7,0
6.18,69.49,65.52,1,1,1,1,9,72.52,2,8,6,1
6.95,72.19,79.63,1,3,0,1,7,62.96,3,2,8,0
5.95,83.89,61.33,1,0,0,2,2,36.18,4,6,6,0
8.83,94.7,83.48,0,0,1,2,3,51.22,6,8,9,1
5.77,81.95,62.67,0,2,0,1,4,62.27,9,1,10,0
6.76,66.04,80.52,1,5,2,2,4,62.69,2,6,2,1
7.33,82.45,81.26,0,1,1,3,10,66.35,8,9,7,1
8.64,89.97,68.03,1,3,0,2,8,45.5,9,10,5,1
5.76,71.9,80.82,0,1,2,0,10,63.03,2,10,1,1
8.36,76.66,77.6,0,0,0,1,10,79.21,9,2,3,1
7.21,78.15,69.61,0,4,0,1,6,21.69,7,1,4,0
6.22,70.15,64.91,0,1,2,1,3,60.76,9,2,2,0
7.66,84.48,55.37,0,3,1,0,9,40.07,6,5,7,1
7.4,76.79,78.5,1,0,0,1,10,64.52,2,6,1,0
6.6,82.2,59.35,2,1,0,2,8,42.43,8,1,3,0
7.27,69.13,75.95,2,0,2,1,9,67.01,10,7,9,1
6.81,73.63,72.37,2,3,0,1,5,89.4,9,4,2,0
7.31,85.22,81.79,0,1,0,1,3,50.31,8,9,5,1
7.86,74.27,71.98,3,1,1,2,4,52.48,2,6,4,0
8.79,95.27,71.71,1,3,0,0,5,57.95,8,9,3,1
5.96,74.0,82.32,2,2,1,0,9,69.78,3,1,5,0
9.33,80.25,78.35,0,6,0,0,9,49.71,3,4,6,1
5.25,87.33,78.16,2,4,2,2,3,59.3,9,2,1,0
7.05,63.82,79.69,0,1,1,1,7,54.96,9,6,2,1
7.79,60.39,59.64,0,1,1,2,6,58.0,9,4,1,1
7.48,62.74,82.57,3,3,0,0,4,69.96,4,9,3,0
6.58,90.63,81.12,0,2,0,1,5,73.27,7,3,8,1
6.99,72.48,64.83,3,1,0,2,10,42.85,8,1,8,0
6.71,100.0,72.56,0,2,1,3,2,69.9,5,1,4,0
6.61,72.36,74.61,0,0,0,3,7,100.0,1,9,6,1
8.05,79.85,73.66,1,2,0,2,4,88.16,9,9,9,1
7.56,93.42,78.34,1,4,2,0,2,55.37,6,5,7,1
6.51,98.06,89.31,1,3,0,1,6,66.98,3,2,2,0
8.1,98.62,85.82,0,2,1,3,2,64.5,3,9,2,1
7.51,90.08,61.88,0,1,2,2,10,71.89,10,8,3,1
8.01,88.24,81.22,0,1,1,0,2,58.67,1,10,8,1
7.83,83.93,88.29,0,0,0,2,7,60.96,8,10,10,1
6.37,85.78,78.87,0,0,2,4,1,54.04,2,6,9,1
6.64,72.49,85.91,1,3,1,3,7,81.43,1,7,3,1
7.95,69.82,95.12,0,0,1,1,10,69.66,7,6,9,1
7.81,77.97,85.24,0,3,0,3,5,69.78,9,5,10,1
7.18,76.3,77.49,3,2,0,0,1,83.28,6,4,8,0
7.32,73.47,85.45,1,0,0,3,6,83.5,8,7,5,1
8.48,84.96,76.45,1,4,1,1,7,80.67,8,4,10,1
6.61,87.55,75.24,2,0,2,1,1,83.05,9,10,3,1
7.75,78.88,71.49,2,2,2,4,9,88.44,7,10,7,1
7.0,92.78,90.63,0,2,1,2,7,50.5,9,10,9,1
6.98,66.58,66.82,3,3,1,5,1,60.52,9,9,6,1
8.3,76.06,90.32,0,5,0,3,3,75.63,1,5,3,1
8.03,70.83,80.0,0,1,1,2,5,51.72,6,8,5,1
8.01,59.33,61.01,0,0,0,0,4,59.55,8,6,7,1
8.51,77.17,78.68,1,2,0,2,2,67.92,10,4,8,1
7.22,76.78,54.0,0,1,2,2,1,61.55,9,3,4,1
7.88,93.13,81.26,2,3,2,1,4,65.99,4,6,2,1
6.89,84.31,83.85,1,5,0,3,7,47.82,2,1,10,0
7.52,67.76,69.08,0,2,1,1,4,64.43,9,2,2,0
7.07,96.54,76.24,1,1,0,0,9,67.01,9,7,3,0
7.3,90.21,94.54,0,2,0,3,8,89.23,8,4,8,1
7.8,83.82,69.94,3,1,2,4,8,60.97,3,5,1,0
6.38,75.74,64.41,1,1,2,1,5,55.25,5,10,7,1
9.29,68.41,89.82,0,1,0,1,1,75.69,2,1,6,0
6.19,74.28,94.63,0,3,2,3,9,20.0,3,2,2,1
5.99,88.89,75.04,3,2,2,0,2,60.24,1,4,9,0
8.36,96.85,85.11,0,1,1,1,6,57.29,4,8,5,1
7.99,93.43,88.41,3,0,1,5,10,68.91,5,10,2,1
7.82,73.11,67.58,2,1,2,0,5,83.69,2,4,3,0
7.83,66.8,70.15,0,1,1,2,10,88.27,3,3,7,1
7.19,79.41,87.31,2,0,0,0,8,68.7,6,3,7,0
6.3,60.32,91.85,0,2,2,1,3,41.72,6,5,10,1
7.28,81.23,80.63,0,1,0,4,6,57.29,7,3,1,0
6.52,76.52,66.2,0,1,2,4,6,58.93,9,8,10,1
8.18,73.34,94.87,1,2,0,0,10,70.51,4,5,4,1
7.05,62.05,69.69,0,2,1,6,3,65.84,5,7,6,1
6.37,83.14,71.65,3,3,1,2,7,54.68,2,8,8,0
6.88,72.67,78.42,0,4,0,2,4,46.23,6,5,3,1
7.61,66.3,90.54,0,1,1,1,5,51.97,4,8,3,1
6.64,49.28,83.54,3,2,1,3,9,51.42,5,3,8,0
6.38,77.72,79.15,2,0,0,0,6,89.32,7,7,8,0
7.44,95.72,79.63,2,2,1,1,10,53.46,6,8,8,1
7.44,94.61,75.44,0,2,1,0,4,65.9,8,7,1,1
6.69,73.43,80.58,0,2,0,1,8,79.53,6,2,8,1
6.73,71.98,49.7,1,2,0,0,9,67.92,10,8,8,1
7.43,82.69,72.03,2,0,0,0,10,48.71,8,6,2,0
5.75,68.02,77.41,0,3,2,0,5,79.78,4,10,9,1
5.79,81.02,63.49,1,2,0,3,2,70.31,7,3,7,0
6.48,85.66,78.86,0,2,2,1,6,32.22,3,4,8,1
6.99,90.27,72.96,0,3,0,2,8,83.69,1,7,2,1
7.51,77.0,92.55,1,1,2,1,5,78.1,9,3,4,1
8.68,75.96,90.73,1,0,1,1,1,70.08,9,1,7,0
8.06,69.22,70.34,0,3,0,1,8,89.52,6,6,6,1
7.04,69.73,73.49,2,0,2,1,9,77.76,2,3,7,0
7.18,75.74,74.26,0,1,1,1,1,81.92,8,10,1,1
6.2,81.67,70.48,0,5,1,5,8,80.55,10,6,8,1
7.18,87.14,76.95,3,1,0,0,10,76.36,6,10,7,1
6.91,69.97,67.42,1,1,1,1,2,38.14,7,3,4,0
7.52,92.93,63.69,0,5,1,1,4,39.93,1,6,1,0
6.37,75.29,81.23,0,5,1,2,2,77.76,3,4,8,1
7.72,77.79,81.3,0,4,1,1,2,83.47,1,4,10,1
8.73,70.53,66.96,2,2,1,1,10,54.42,10,10,7,1
7.09,53.76,83.95,1,0,0,3,3,48.29,1,10,8,0
7.6,86.84,68.68,0,1,2,1,8,68.94,1,2,10,1
7.89,85.37,77.53,2,5,0,0,4,43.22,4,4,1,0
6.8,75.19,83.2,0,3,2,1,7,62.47,7,4,5,1
7.42,78.67,74.66,2,0,0,1,10,59.67,7,7,9,1
7.21,83.16,79.55,0,1,2,3,3,61.63,5,5,5,1
7.3,62.37,69.84,0,1,1,1,10,93.27,6,8,10,1
6.43,72.71,73.04,3,2,0,2,3,55.49,2,7,3,0
7.22,85.94,72.94,3,4,1,2,2,65.8,5,10,9,0
7.7,65.46,67.53,0,2,0,0,6,45.32,7,9,9,1
8.65,80.94,73.23,2,1,1,2,6,79.11,9,8,4,1
8.16,64.43,59.51,3,1,0,0,1,62.31,6,9,4,0
9.35,82.66,70.09,0,3,0,0,7,82.67,10,1,8,1
6.43,77.64,72.15,3,2,1,1,4,28.14,4,10,7,0
8.07,61.85,72.44,1,3,2,2,3,64.13,3,3,5,1
7.38,89.65,72.59,0,2,1,3,8,66.98,9,5,6,1
9.39,70.65,74.38,2,1,1,2,2,78.67,7,9,3,1
6.39,69.9,79.79,2,0,0,1,9,55.37,6,8,6,1
6.36,80.01,83.75,1,4,1,1,8,76.8,7,10,8,1
6.6,89.49,68.5,2,5,0,2,8,57.09,8,7,10,1
5.08,67.84,62.97,0,3,1,0,3,66.41,5,2,9,1
6.67,78.62,64.58,1,0,0,2,4,78.83,3,6,3,0
6.44,82.29,70.13,2,1,0,3,2,51.05,3,4,8,0
7.35,84.93,71.48,1,4,2,2,2,76.11,2,5,3,1
7.54,79.76,67.3,0,3,1,2,4,70.02,8,5,2,1
9.08,74.33,62.04,0,2,0,0,6,59.99,1,4,5,0
8.15,69.72,70.44,0,2,1,0,5,54.98,8,4,4,1
6.62,78.86,76.81,0,2,0,2,1,33.49,3,4,5,0
6.3,67.28,80.95,0,4,0,0,10,63.8,9,2,6,1
7.69,48.79,69.43,3,1,0,5,1,60.02,2,1,3,0
5.88,82.37,70.87,2,0,2,0,6,74.59,10,2,1,0
9.03,87.04,65.73,0,1,0,0,3,73.07,9,7,4,1
8.38,54.37,74.69,3,5,0,2,3,81.05,6,1,6,0
6.73,67.9,66.52,0,4,2,2,7,81.6,1,6,2,0
5.49,84.19,80.73,0,1,1,0,1,100.0,5,4,2,0
8.55,98.57,57.14,2,4,0,1,1,72.7,10,2,1,0
7.09,78.21,71.4,2,5,2,2,10,52.09,9,3,9,1
8.44,70.72,78.01,3,0,2,2,3,77.39,6,7,3,0
5.61,76.17,76.84,0,1,0,2,8,89.09,7,6,2,0
6.6,91.75,100.0,3,2,0,1,1,72.12,4,6,4,0
7.21,71.54,78.5,2,1,0,4,10,33.14,1,8,6,0
7.25,70.01,64.96,2,4,0,4,4,73.33,5,8,1,1
6.75,73.17,74.05,0,2,1,0,9,55.55,2,6,9,0
7.82,68.47,57.24,3,2,0,1,4,45.17,8,1,9,0
6.13,79.23,74.19,0,3,0,0,10,67.8,4,10,8,1
